548,209,575,196,628,176,647,171,680,163,707,170,736,171,756,224,726,223,671,219,660,226,634,232,608,243,581,255
736,240,760,231,787,217,806,219,836,215,846,257,869,241,878,191,855,207,841,265,821,268,798,266,794,270,769,279
348,331,367,327,397,321,420,319,438,315,465,318,484,317,491,355,471,356,439,354,428,357,402,359,374,365,355,368
753,355,777,358,800,363,838,356,854,351,871,345,892,335,913,375,892,385,870,393,842,401,810,407,772,403,748,400
638,384,660,374,688,369,700,364,732,366,731,366,754,365,773,405,751,406,725,409,708,408,691,413,679,414,657,424
622,435,643,430,660,430,686,419,707,421,730,416,751,417,766,456,744,455,709,462,691,460,670,470,648,470,628,476
799,455,813,455,834,453,851,450,864,445,878,447,891,446,902,471,888,472,867,472,857,477,837,480,825,480,811,480
369,598,397,597,453,582,499,591,527,584,562,579,590,571,604,627,575,635,531,641,501,648,449,639,418,650,389,651
794,607,812,601,830,595,860,589,877,584,897,586,915,582,924,617,906,621,874,620,867,625,841,629,831,632,813,638
564,669,582,667,614,662,647,660,673,655,703,651,728,647,734,683,709,687,678,691,650,696,620,698,587,703,569,705
564,701,594,698,611,698,643,694,672,693,710,688,726,686,733,719,717,720,675,727,645,727,614,732,598,732,568,734
716,730,742,721,788,713,818,702,855,695,905,696,933,697,936,751,908,750,859,750,830,755,801,767,748,775,722,784
743,765,770,761,821,753,855,746,905,748,943,733,963,731,977,767,957,769,909,787,859,785,828,791,776,800,748,804
862,913,880,912,910,912,921,911,947,910,960,909,978,907,984,941,966,943,950,944,923,945,909,946,885,946,867,948
839,942,857,942,879,942,904,941,928,940,946,938,964,936,970,971,952,973,932,975,910,976,880,977,864,977,846,976
563,1142,581,1141,588,1144,623,1133,645,1130,661,1128,679,1127,688,1162,669,1162,647,1165,628,1168,607,1174,579,1176,561,1177
459,1160,474,1158,495,1150,520,1153,532,1149,546,1146,561,1141,577,1165,563,1171,544,1175,515,1182,497,1179,486,1185,471,1187
